id,label,description,url,x,y,cluster,weight<Links>,weight<Total link strength>
567,na (ep),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>framework for probabilistic geospatial ontologies</td></tr><tr><td>Source:</td><td>[no source], 22(7)</td></tr></table>",https://doi.org/10.1080/13658810701694853,0.2763,0.5032,3,33,10
568,na (eq),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>cartographic generalisation of lines based on a b-spline snake model</td></tr><tr><td>Source:</td><td>[no source], 22(8)</td></tr></table>",https://doi.org/10.1080/13658810701689846,0.6571,0.9484,3,31,19
569,na (er),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>image-based quality assessment of road databases</td></tr><tr><td>Source:</td><td>[no source], 22(8)</td></tr></table>",https://doi.org/10.1080/13658810701703258,0.3566,0.4738,3,23,4
570,na (es),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>srtm resample with short distance-low nugget kriging</td></tr><tr><td>Source:</td><td>[no source], 22(8)</td></tr></table>",https://doi.org/10.1080/13658810701730152,1.2443,0.1618,8,26,12
571,na (et),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>3d noise mapping in urban areas</td></tr><tr><td>Source:</td><td>[no source], 22(8)</td></tr></table>",https://doi.org/10.1080/13658810701739039,1.0682,0.1983,1,4,1
572,na (eu),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>effects of dem resolution and source on soil erosion modelling: a case study using the wepp model</td></tr><tr><td>Source:</td><td>[no source], 22(8)</td></tr></table>",https://doi.org/10.1080/13658810701776817,1.1942,-0.051,1,70,27
576,na (ey),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>modelling vague places with knowledge from the web</td></tr><tr><td>Source:</td><td>[no source], 22(10)</td></tr></table>",https://doi.org/10.1080/13658810701850547,0.1997,0.741,3,53,22
577,na (ez),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>automated conflation of digital gazetteer data</td></tr><tr><td>Source:</td><td>[no source], 22(10)</td></tr></table>",https://doi.org/10.1080/13658810701851453,0.2506,0.725,3,67,16
578,na (fa),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>relative positions in words: a system that builds descriptions around allen relations</td></tr><tr><td>Source:</td><td>[no source], 24(1)</td></tr></table>",https://doi.org/10.1080/13658810802270587,0.4569,0.3653,3,19,11
579,na (fb),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>integration of gp and ga for mapping population distribution</td></tr><tr><td>Source:</td><td>[no source], 24(1)</td></tr></table>",https://doi.org/10.1080/13658810802186874,0.163,-0.2548,7,68,18
580,na (fc),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>location-based algorithms for finding sets of corresponding objects over several geo-spatial data sets</td></tr><tr><td>Source:</td><td>[no source], 24(1)</td></tr></table>",https://doi.org/10.1080/13658810802275560,0.5939,0.3059,3,32,10
581,na (fd),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>geographical detectors-based health risk assessment and its application in the neural tube defects study of the heshun region, china</td></tr><tr><td>Source:</td><td>[no source], 24(1)</td></tr></table>",https://doi.org/10.1080/13658810802443457,0.1194,-0.2684,2,131,18
582,na (fe),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>feature-based cartographic modeling</td></tr><tr><td>Source:</td><td>[no source], 24(1)</td></tr></table>",https://doi.org/10.1080/13658810802492462,0.3374,0.1923,3,41,14
583,na (ff),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>lisflood: a gis-based distributed model for river basin scale water balance and flood simulation</td></tr><tr><td>Source:</td><td>[no source], 24(2)</td></tr></table>",https://doi.org/10.1080/13658810802549154,1.0234,-0.1906,1,15,6
584,na (fg),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>maximal service area problem for optimal siting of emergency facilities</td></tr><tr><td>Source:</td><td>[no source], 24(2)</td></tr></table>",https://doi.org/10.1080/13658810802549162,0.4646,0.1804,9,69,17
585,na (fh),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>utilising urban context recognition and machine learning to improve the generalisation of buildings</td></tr><tr><td>Source:</td><td>[no source], 24(2)</td></tr></table>",https://doi.org/10.1080/13658810902798099,0.5691,0.6763,3,40,21
586,na (fi),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>mapping transit-based access: integrating gis, routes and schedules</td></tr><tr><td>Source:</td><td>[no source], 24(2)</td></tr></table>",https://doi.org/10.1080/13658810902835404,-0.7296,0.297,8,105,37
587,na (fj),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>morphometric characterisation of landform from dems</td></tr><tr><td>Source:</td><td>[no source], 24(2)</td></tr></table>",https://doi.org/10.1080/13658810802467969,0.9407,0.0243,1,80,43
588,na (fk),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>a new method for determining the population with walking access to transit</td></tr><tr><td>Source:</td><td>[no source], 24(3)</td></tr></table>",https://doi.org/10.1080/13658810802646679,-0.2771,0.1576,9,128,41
589,na (fl),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>geographically and temporally weighted regression for modeling spatio-temporal variation in house prices</td></tr><tr><td>Source:</td><td>[no source], 24(3)</td></tr></table>",https://doi.org/10.1080/13658810802672469,-0.1401,-0.6408,2,88,21
590,na (fm),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>a spatial approach to select pilot counties for programs to correct the biased sex ratio at birth in shandong province, china</td></tr><tr><td>Source:</td><td>[no source], 24(3)</td></tr></table>",https://doi.org/10.1080/13658810902839174,0.1379,-0.4064,2,96,3
591,na (fn),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>using rough set theory to identify villages affected by birth defects: the example of heshun, shanxi, china</td></tr><tr><td>Source:</td><td>[no source], 24(4)</td></tr></table>",https://doi.org/10.1080/13658810902960079,0.4321,-0.2307,10,15,14
592,na (fo),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>development of an interoperable tool to facilitate spatial data integration in the context of sdi</td></tr><tr><td>Source:</td><td>[no source], 24(4)</td></tr></table>",https://doi.org/10.1080/13658810902881903,0.884,-0.1203,1,2,2
593,na (fp),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>investigation of aggregation effects in vegetation condition monitoring at a national scale</td></tr><tr><td>Source:</td><td>[no source], 24(4)</td></tr></table>",https://doi.org/10.1080/13658810902798107,0.2714,-0.3151,1,32,11
594,na (fq),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>sample surveying to estimate the mean of a heterogeneous surface: reducing the error variance through zoning</td></tr><tr><td>Source:</td><td>[no source], 24(4)</td></tr></table>",https://doi.org/10.1080/13658810902873512,0.3447,-0.3268,2,85,21
595,na (fr),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>the use of immersive real-time 3d computer graphics for visualization of dilution of precision in virtual environments</td></tr><tr><td>Source:</td><td>[no source], 24(4)</td></tr></table>",https://doi.org/10.1080/13658810902989995,1.0283,0.125,5,11,4
596,na (fs),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>a grid-based collaborative virtual geographic environment for the planning of silt dam systems</td></tr><tr><td>Source:</td><td>[no source], 24(4)</td></tr></table>",https://doi.org/10.1080/13658810903012425,0.4036,0.4529,10,2,2
597,na (ft),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>an enhanced supervised spatial decision support system of image classification: consideration on the ancillary information of paddy rice area</td></tr><tr><td>Source:</td><td>[no source], 24(4)</td></tr></table>",https://doi.org/10.1080/13658810802587709,0.8207,-0.3562,1,19,11
598,na (fu),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>selection of bandwidth type and adjustment side in kernel density estimation over inhomogeneous backgrounds</td></tr><tr><td>Source:</td><td>[no source], 24(5)</td></tr></table>",https://doi.org/10.1080/13658810902950625,-0.1385,0.1073,2,78,18
599,na (fv),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>data model for system conceptualization in groundwater studies</td></tr><tr><td>Source:</td><td>[no source], 24(5)</td></tr></table>",https://doi.org/10.1080/13658810902967389,0.6186,0.0988,3,53,14
600,na (fw),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>a general-purpose parallel raster processing programming library test application using a geographic cellular automata model</td></tr><tr><td>Source:</td><td>[no source], 24(5)</td></tr></table>",https://doi.org/10.1080/13658810902984228,0.3867,-0.2956,6,165,45
601,na (fx),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>using landscape characteristics to define an adjusted distance metric for improving kriging interpolations</td></tr><tr><td>Source:</td><td>[no source], 24(5)</td></tr></table>",https://doi.org/10.1080/13658810903062487,0.5811,-0.2487,1,77,23
602,na (fy),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>personalizing map content to improve task completion efficiency</td></tr><tr><td>Source:</td><td>[no source], 24(5)</td></tr></table>",https://doi.org/10.1080/13658810903074490,-0.2486,0.7365,3,6,6
603,na (fz),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>community-based production of geographic information using open source software and web 2.0</td></tr><tr><td>Source:</td><td>[no source], 24(5)</td></tr></table>",https://doi.org/10.1080/13658810903213288,-0.0544,0.3502,10,67,22
604,na (ga),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>simulating land-use dynamics under planning policies by integrating artificial immune systems with cellular automata</td></tr><tr><td>Source:</td><td>[no source], 24(5)</td></tr></table>",https://doi.org/10.1080/13658810903270551,0.1456,-0.8853,6,217,33
605,na (gb),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>parallel cellular automata for large-scale urban simulation using load-balancing techniques</td></tr><tr><td>Source:</td><td>[no source], 24(6)</td></tr></table>",https://doi.org/10.1080/13658810903107464,0.4876,-0.8109,6,120,23
606,na (gc),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>identifying factors of influence in the spatial distribution of domestic fires</td></tr><tr><td>Source:</td><td>[no source], 24(6)</td></tr></table>",https://doi.org/10.1080/13658810903143634,0.0462,-0.1472,2,77,15
607,na (gd),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>esp: a tool to estimate scale parameter for multiresolution image segmentation of remotely sensed data</td></tr><tr><td>Source:</td><td>[no source], 24(6)</td></tr></table>",https://doi.org/10.1080/13658810903174803,0.6997,-0.1805,1,47,18
608,na (ge),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>forest fire alert system: a geoweb gis prioritization model considering land susceptibility and hotspots - a case study in the carajã¡s national forest, brazilian amazon</td></tr><tr><td>Source:</td><td>[no source], 24(6)</td></tr></table>",https://doi.org/10.1080/13658810903194264,0.9025,-0.3673,1,7,5
609,na (gf),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>windowed nearest neighbour method for mining spatio-temporal clusters in the presence of noise</td></tr><tr><td>Source:</td><td>[no source], 24(6)</td></tr></table>",https://doi.org/10.1080/13658810903246155,-0.2882,0.248,4,71,33
610,na (gg),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>spatial variability of soil nutrients and gis-based nutrient management in yongji county, china</td></tr><tr><td>Source:</td><td>[no source], 24(7)</td></tr></table>",https://doi.org/10.1080/13658810903257954,0.2886,-0.2813,2,46,4
611,na (gh),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>an extension of gis-based least-cost path modelling to the location of wide paths</td></tr><tr><td>Source:</td><td>[no source], 24(7)</td></tr></table>",https://doi.org/10.1080/13658810903401016,0.3784,0.4024,9,53,12
612,na (gi),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>an object-based conceptual framework and computational method for representing and analyzing coastal morphological changes</td></tr><tr><td>Source:</td><td>[no source], 24(7)</td></tr></table>",https://doi.org/10.1080/13658810903270569,0.4773,0.1303,3,96,30
613,na (gj),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>propagating error in land-cover-change analyses: impact of temporal dependence under increased thematic complexity</td></tr><tr><td>Source:</td><td>[no source], 24(7)</td></tr></table>",https://doi.org/10.1080/13658810903279008,0.7565,-0.3754,1,78,17
614,na (gk),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>an object-oriented shared data model for gis and distributed hydrologic models</td></tr><tr><td>Source:</td><td>[no source], 24(7)</td></tr></table>",https://doi.org/10.1080/13658810903289460,0.6958,0.0055,1,58,16
615,na (gl),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>comparative evaluation and analysis of online geocoding services</td></tr><tr><td>Source:</td><td>[no source], 24(7)</td></tr></table>",https://doi.org/10.1080/13658810903289478,0.1999,0.4183,2,35,15
616,na (gm),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>an agent-based micro-simulation framework for modelling of dynamic activity-travel rescheduling decisions</td></tr><tr><td>Source:</td><td>[no source], 24(8)</td></tr></table>",https://doi.org/10.1080/13658810903317022,-0.3362,-0.0538,8,96,12
617,na (gn),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>an application-driven approach to terrain model construction</td></tr><tr><td>Source:</td><td>[no source], 24(8)</td></tr></table>",https://doi.org/10.1080/13658810903318889,0.9439,-0.0529,1,120,31
618,na (go),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>exploring population spatial concentrations in northern ireland by community background and other characteristics: an application of geographically weighted spatial statistics</td></tr><tr><td>Source:</td><td>[no source], 24(8)</td></tr></table>",https://doi.org/10.1080/13658810903321321,-0.7791,-0.6276,7,238,37
619,na (gp),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>an agent-based model for optimal land allocation (agentla) with a contiguity constraint</td></tr><tr><td>Source:</td><td>[no source], 24(8)</td></tr></table>",https://doi.org/10.1080/13658810903401024,0.2541,-0.4676,9,239,38
620,na (gq),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>an ensemble approach to space-time interpolation</td></tr><tr><td>Source:</td><td>[no source], 24(9)</td></tr></table>",https://doi.org/10.1080/13658816.2010.488238,0.3394,-0.3421,6,142,22
621,na (gr),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>characterizing errors in digital elevation models and estimating the financial costs of accuracy</td></tr><tr><td>Source:</td><td>[no source], 24(9)</td></tr></table>",https://doi.org/10.1080/13658811003591680,1.2269,-0.0951,1,52,10
622,na (gs),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>local entropy map: a nonparametric approach to detecting spatially varying multivariate relationships</td></tr><tr><td>Source:</td><td>[no source], 24(9)</td></tr></table>",https://doi.org/10.1080/13658811003619143,0.0047,-0.3581,2,204,22
623,na (gt),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>crossing natural and data set boundaries: coastal terrain modelling in the south-west finnish archipelago</td></tr><tr><td>Source:</td><td>[no source], 24(9)</td></tr></table>",https://doi.org/10.1080/13658811003591698,1.2133,-0.0589,1,78,24
624,na (gu),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>using space-time visual analytic methods for exploring the dynamics of ethnic groups' residential patterns</td></tr><tr><td>Source:</td><td>[no source], 24(10)</td></tr></table>",https://doi.org/10.1080/13658816.2010.513982,-0.3374,-0.0529,7,190,23
625,na (gv),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>analysing spatio-temporal autocorrelation with lista-viz</td></tr><tr><td>Source:</td><td>[no source], 24(10)</td></tr></table>",https://doi.org/10.1080/13658816.2010.511717,-0.0129,0.0645,10,144,20
626,na (gw),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>space-time density of trajectories: exploring spatio-temporal patterns in movement data</td></tr><tr><td>Source:</td><td>[no source], 24(10)</td></tr></table>",https://doi.org/10.1080/13658816.2010.511223,-0.1532,0.5549,4,51,21
627,na (gx),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>exploring the efficiency of users' visual analytics strategies based on sequence analysis of eye movement recordings</td></tr><tr><td>Source:</td><td>[no source], 24(10)</td></tr></table>",https://doi.org/10.1080/13658816.2010.511718,-0.0105,0.6893,10,47,20
628,na (gy),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>an ontology-based framework for geospatial clustering</td></tr><tr><td>Source:</td><td>[no source], 24(11)</td></tr></table>",https://doi.org/10.1080/13658811003702147,0.1803,0.1971,3,68,16
629,na (gz),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>a stroke-based method for automated generation of schematic network maps</td></tr><tr><td>Source:</td><td>[no source], 24(11)</td></tr></table>",https://doi.org/10.1080/13658811003766936,-0.0475,0.7735,3,32,12
630,na (ha),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>have a nice trip: an algorithm for identifying excess routes under satisfaction constraints</td></tr><tr><td>Source:</td><td>[no source], 24(11)</td></tr></table>",https://doi.org/10.1080/13658810903514180,-0.1296,0.4174,9,11,5
631,na (hb),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>using spatial analysis and bayesian network to model the vulnerability and make insurance pricing of catastrophic risk</td></tr><tr><td>Source:</td><td>[no source], 24(12)</td></tr></table>",https://doi.org/10.1080/13658816.2010.510473,0.2513,0.0168,3,85,10
632,na (hc),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>user-friendly web mapping: lessons from a citizen science website</td></tr><tr><td>Source:</td><td>[no source], 24(12)</td></tr></table>",https://doi.org/10.1080/13658816.2010.490532,0.2445,0.4287,10,83,20
633,na (hd),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>area aggregation in map generalisation by mixed-integer programming</td></tr><tr><td>Source:</td><td>[no source], 24(12)</td></tr></table>",https://doi.org/10.1080/13658810903401008,0.5023,0.5792,3,52,26
634,na (he),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>pseudo-absences, pseudo-models and pseudo-niches: pitfalls of model selection based on the area under the curve</td></tr><tr><td>Source:</td><td>[no source], 26(11)</td></tr></table>",https://doi.org/10.1080/13658816.2012.719626,0.9616,-0.4047,1,44,19
635,na (hf),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>the effect of species geographical distribution estimation methods on richness and phylogenetic diversity estimates</td></tr><tr><td>Source:</td><td>[no source], 26(11)</td></tr></table>",https://doi.org/10.1080/13658816.2012.717627,1.0221,-0.4678,1,30,21
636,na (hg),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>a comparison of two home range modeling methods using ugandan mountain gorilla data</td></tr><tr><td>Source:</td><td>[no source], 26(11)</td></tr></table>",https://doi.org/10.1080/13658816.2012.691507,0.1023,0.514,4,14,10
637,na (hh),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>spatial data for modelling and management of freshwater ecosystems</td></tr><tr><td>Source:</td><td>[no source], 26(11)</td></tr></table>",https://doi.org/10.1080/13658816.2012.717628,0.9821,-0.3433,1,27,11
638,na (hi),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>developing physical surrogates for benthic biodiversity using co-located samples and regression tree models: a conceptual synthesis for a sandy temperate embayment</td></tr><tr><td>Source:</td><td>[no source], 26(11)</td></tr></table>",https://doi.org/10.1080/13658816.2012.658808,0.5729,-0.2513,1,153,24
639,na (hj),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>experiences with evacuation route planning algorithms</td></tr><tr><td>Source:</td><td>[no source], 26(12)</td></tr></table>",https://doi.org/10.1080/13658816.2012.719624,0.0028,0.525,9,116,8
640,na (hk),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>interpreting maps through the eyes of expert and novice users</td></tr><tr><td>Source:</td><td>[no source], 26(10)</td></tr></table>",https://doi.org/10.1080/13658816.2011.642801,0.1401,0.7204,10,20,15
641,na (hl),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>an efficient outlying trajectories mining approach based on relative distance</td></tr><tr><td>Source:</td><td>[no source], 26(10)</td></tr></table>",https://doi.org/10.1080/13658816.2012.654792,-0.2343,1.009,4,10,8
642,na (hm),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>zone design of specific sizes using adaptive additively weighted voronoi diagrams</td></tr><tr><td>Source:</td><td>[no source], 26(10)</td></tr></table>",https://doi.org/10.1080/13658816.2012.655742,0.2031,0.0099,9,44,17
643,na (hn),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>incorporating spectral data into logistic regression model to classify land cover: a case study in mt. qomolangma (everest) national nature preserve</td></tr><tr><td>Source:</td><td>[no source], 26(10)</td></tr></table>",https://doi.org/10.1080/13658816.2012.659185,0.4551,-0.644,1,76,19
644,na (ho),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>multi-criteria modelling and clustering of spatial information</td></tr><tr><td>Source:</td><td>[no source], 26(10)</td></tr></table>",https://doi.org/10.1080/13658816.2012.661056,0.7386,-0.092,1,27,4
645,na (hp),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>inferring network paths from point observations</td></tr><tr><td>Source:</td><td>[no source], 26(10)</td></tr></table>",https://doi.org/10.1080/13658816.2012.674137,-0.1274,0.5483,9,98,22
646,na (hq),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>the cartacom model: transforming cartographic features into communicating agents for cartographic generalisation</td></tr><tr><td>Source:</td><td>[no source], 26(9)</td></tr></table>",https://doi.org/10.1080/13658816.2011.639302,0.4764,0.9112,3,19,13
647,na (hr),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>movement similarity assessment using symbolic representation of trajectories</td></tr><tr><td>Source:</td><td>[no source], 26(9)</td></tr></table>",https://doi.org/10.1080/13658816.2011.630003,0.0809,0.5229,4,37,9
648,na (hs),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>natural protected areas of san luis potosã­, mexico: ecological representativeness, risks, and conservation implications across scales</td></tr><tr><td>Source:</td><td>[no source], 26(9)</td></tr></table>",https://doi.org/10.1080/13658816.2011.643801,0.9303,-0.3861,1,24,9
649,na (ht),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>a modified particle swarm optimization algorithm for optimal allocation of earthquake emergency shelters</td></tr><tr><td>Source:</td><td>[no source], 26(9)</td></tr></table>",https://doi.org/10.1080/13658816.2011.643802,0.557,0.0145,9,41,16
650,na (hu),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>paying as the urban areas grow - implementing and managing urban development charges using a gis application</td></tr><tr><td>Source:</td><td>[no source], 26(9)</td></tr></table>",https://doi.org/10.1080/13658816.2011.645478,-0.2918,-0.2902,5,14,5
651,na (hv),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>developing a parallel computational implementation of amoeba</td></tr><tr><td>Source:</td><td>[no source], 26(9)</td></tr></table>",https://doi.org/10.1080/13658816.2011.645477,0.4903,-0.1848,6,38,15
652,na (hw),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>the viability of the genetic algorithm geodemographic modelling in the case of korean dif zoning</td></tr><tr><td>Source:</td><td>[no source], 26(8)</td></tr></table>",https://doi.org/10.1080/13658816.2011.626781,0.0104,-0.3408,7,59,26
653,na (hx),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>statistics-based outlier detection for wireless sensor networks</td></tr><tr><td>Source:</td><td>[no source], 26(8)</td></tr></table>",https://doi.org/10.1080/13658816.2012.654493,0.1948,0.0962,4,29,7
654,na (hy),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>semantic similarity measurement based on knowledge mining: an artificial neural net approach</td></tr><tr><td>Source:</td><td>[no source], 26(8)</td></tr></table>",https://doi.org/10.1080/13658816.2011.635595,0.2996,0.6658,3,18,9
655,na (hz),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>detecting ethnic residential clusters using an optimisation clustering method</td></tr><tr><td>Source:</td><td>[no source], 26(8)</td></tr></table>",https://doi.org/10.1080/13658816.2011.637045,-0.9332,-0.4517,7,183,34
656,na (ia),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>criteria of geographic relevance: an experimental study</td></tr><tr><td>Source:</td><td>[no source], 26(8)</td></tr></table>",https://doi.org/10.1080/13658816.2011.639303,-0.1412,0.5926,3,43,10
657,na (ib),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>defining and generating axial lines from street center lines for better understanding of urban morphologies</td></tr><tr><td>Source:</td><td>[no source], 26(8)</td></tr></table>",https://doi.org/10.1080/13658816.2011.643800,-0.3182,0.5513,5,159,22
658,na (ic),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>modeling of glacier bed topography from glacier outlines, central branch lines, and a dem</td></tr><tr><td>Source:</td><td>[no source], 26(7)</td></tr></table>",https://doi.org/10.1080/13658816.2011.627859,1.7468,-0.0119,1,12,3
659,na (id),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>volunteered geographic information production as a spatial process</td></tr><tr><td>Source:</td><td>[no source], 26(7)</td></tr></table>",https://doi.org/10.1080/13658816.2011.629618,-0.2079,0.3174,3,216,39
660,na (ie),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>application of bayesian spatial smoothing models to assess agricultural self-sufficiency</td></tr><tr><td>Source:</td><td>[no source], 26(7)</td></tr></table>",https://doi.org/10.1080/13658816.2011.633491,-0.3018,-0.5858,2,104,10
661,na (if),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>integrated modelling of population, employment and land-use change with a multiple activity-based variable grid cellular automaton</td></tr><tr><td>Source:</td><td>[no source], 26(7)</td></tr></table>",https://doi.org/10.1080/13658816.2011.635146,0.103,-0.7929,6,158,24
662,na (ig),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>gis-based modelling of topography-induced solar radiation variability in complex terrain for data sparse region</td></tr><tr><td>Source:</td><td>[no source], 26(7)</td></tr></table>",https://doi.org/10.1080/13658816.2011.641969,0.9984,0.4811,8,15,7
663,na (ih),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>improving map generalisation with new pruning heuristics</td></tr><tr><td>Source:</td><td>[no source], 26(7)</td></tr></table>",https://doi.org/10.1080/13658816.2011.625948,0.4866,0.9338,3,22,10
664,na (ii),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>mining urban land-use patterns from volunteered geographic information by means of genetic algorithms and artificial neural networks</td></tr><tr><td>Source:</td><td>[no source], 26(6)</td></tr></table>",https://doi.org/10.1080/13658816.2011.619501,0.2182,0.172,3,274,40
665,na (ij),"<table><tr><td>Authors:</td><td>na</td></tr><tr><td>Title:</td><td>tuning the second-generation sdi: theoretical aspects and real use cases</td></tr><tr><td>Source:</td><td>[no source], 26(6)</td></tr></table>",https://doi.org/10.1080/13658816.2011.620570,0.0504,0.3994,10,99,25
